RadarSysTime_labeled,Radar_Time_labeled,RANGE_labeled,AZIMUTH_labeled,ELEVATION_labeled,X_labeled,Y_labeled,Z_labeled,VELX_labeled,VELY_labeled,VELZ_labeled,P_UAV_labeled,P_UNK_labeled,ID_labeled,RCSEst_labeled,RCSEst_DBSM_labeled,ID_sorted
2021.03.18 10:58:57:591,89.591,77.96376038,-197.2967405,37.59712219,-58.97878595,18.36616556,47.56610876,-4.06637241,-2.995789575,2.037063599,0.044979207,0.955020726,297,0.066545864,-11.76878929,297
2021.03.18 10:58:58:091,90.091,80.57365003,-195.3297582,39.16419591,-60.24861723,16.51528978,50.88606523,-3.648636122,-3.351618735,4.159691252,0.266565926,0.733434056,297,0.063189161,-11.99357414,297
2021.03.18 10:58:58:591,90.591,83.21649962,-193.5048187,36.74083695,-64.84160904,15.57155925,49.77905492,-6.393270236,-2.606556592,0.879533726,0.7535687,0.246431263,297,0.038479506,-14.14770508,297
2021.03.18 10:58:59:091,91.091,85.45399252,-192.1887421,35.48713252,-68.01207001,14.69045363,49.60767583,-6.3668404,-2.22690119,0.371882874,0.993599264,0.006400728,297,0.022525508,-16.48865747,297
2021.03.18 10:58:59:591,91.591,87.61052653,-190.9846717,34.39589375,-70.96764806,13.77497683,49.49185503,-6.197214185,-2.09457023,0.138948958,0.99963573,0.00036425,297,0.01862832,-17.29828364,297
2021.03.18 10:59:00:091,92.091,89.6989759,-189.2559546,34.34835452,-73.09322914,11.9111882,50.60994547,-5.644604114,-2.644517954,0.676554561,0.999816298,0.000183699,297,0.013695232,-18.63430595,297
2021.03.18 10:59:00:591,92.591,91.52130367,-187.2191349,33.62853295,-75.59984217,9.574757977,50.68329373,-5.432305943,-3.331072392,0.465785326,0.999994338,5.64E-06,297,0.012515872,-19.03635123,297
2021.03.18 10:59:01:091,93.091,93.34033646,-185.1961002,32.45502577,-78.43768886,7.132228803,50.08970605,-5.387954491,-3.93517497,0.031025126,0.999999042,9.50E-07,297,0.008789225,-20.56078795,297
2021.03.18 10:59:01:591,93.591,95.38418318,-182.8735282,32.10561654,-80.69541371,4.050348655,50.69489213,-5.230307862,-4.731778106,0.258591155,0.999999997,2.49E-08,297,0.009173414,-20.37484638,297
2021.03.18 10:59:02:091,94.091,97.59071922,-180.8240268,30.85559863,-83.76865593,1.203464963,50.05093456,-5.47981345,-5.111371522,-0.064248318,1,2.06E-09,297,0.00967412,-20.1441118,297
2021.03.18 10:59:02:591,94.591,100.0518835,-178.8788706,29.55090205,-87.01990047,-1.704051797,49.34458629,-5.870917939,-5.388154717,-0.26034201,1,2.06E-09,297,0.011483411,-19.39929199,297
2021.03.18 10:59:03:091,95.091,102.7120294,-177.1640843,28.66535982,-90.01261836,-4.459654683,49.26991492,-6.03040771,-5.439498012,-0.155035962,1,2.06E-09,297,0.012545722,-19.01556037,297
2021.03.18 10:59:03:591,95.591,105.267185,-175.5918595,27.90379034,-92.7530563,-7.150245076,49.26380247,-5.880237034,-5.403112708,-0.124055763,1,2.06E-09,297,0.011471618,-19.4037725,297
2021.03.18 10:59:04:091,96.091,108.1720025,-174.4567279,27.18337958,-95.77432002,-9.295328709,49.41687151,-5.852717818,-4.707932121,-0.030290881,1,2.06E-09,297,0.010041419,-19.98614911,297
2021.03.18 10:59:04:591,96.591,111.4496695,-173.329236,26.57200151,-99.00254578,-11.57959183,49.85352871,-6.288581432,-4.683284279,0.428744877,1,2.06E-09,297,0.010257613,-19.89068614,297
2021.03.18 10:59:05:091,97.091,114.85239,-172.3157761,26.07625979,-102.2350643,-13.79455533,50.48504217,-6.331055403,-4.548529319,0.696500297,1,2.06E-09,297,0.009449895,-20.24786975,297
2021.03.18 10:59:05:591,97.591,118.6489552,-171.4602015,25.80432748,-105.6336667,-15.86212699,51.64778247,-6.615322199,-4.386546251,1.240609873,1,2.06E-09,297,0.011055726,-19.56416653,297
2021.03.18 10:59:06:091,98.091,122.4987749,-170.7837164,25.38185779,-109.2453392,-17.72611838,52.50879121,-6.919432961,-4.170263143,1.440831038,1,2.06E-09,297,0.010092625,-19.96001452,297
2021.03.18 10:59:06:591,98.591,126.2713606,-170.2278064,24.81714142,-112.9474199,-19.45345125,52.99879004,-7.079954009,-3.951602677,1.365492306,1,2.06E-09,297,0.010059118,-19.97453778,297
2021.03.18 10:59:07:091,99.091,130.0709996,-169.6497653,24.39092405,-116.5343494,-21.28374135,53.71392065,-7.135759648,-3.872051457,1.399750868,1,2.06E-09,297,0.012085179,-19.17746925,297
2021.03.18 10:59:07:591,99.591,133.7466413,-168.9026824,24.02519964,-119.8754975,-23.51293173,54.45331926,-6.947137618,-4.029962067,1.365857316,1,2.06E-09,297,0.010191028,-19.91810255,297
2021.03.18 10:59:08:091,100.091,137.7770612,-168.310662,23.22636003,-123.9848889,-25.65235344,54.33377253,-7.383584504,-4.164590526,1.142127888,1,2.06E-09,297,0.00952377,-20.21214063,297
2021.03.18 10:59:08:591,100.591,141.8739519,-167.814705,22.4901339,-128.1304148,-27.6687272,54.270064,-7.686381897,-4.161732784,0.978596481,1,2.06E-09,297,0.008094396,-20.91832684,297
2021.03.18 10:59:09:091,101.091,145.7869765,-167.2620137,22.13067033,-131.7227361,-29.77682157,54.92078886,-7.384270121,-4.136603221,0.94561366,1,2.06E-09,297,0.006819299,-21.66276854,297
2021.03.18 10:59:09:591,101.591,150.0287018,-166.9729701,21.70710618,-135.8023414,-31.42011485,55.48950516,-7.802409095,-3.888618688,1.102011783,1,2.06E-09,297,0.007390881,-21.31321771,297
2021.03.18 10:59:10:091,102.091,154.4141889,-166.8655081,21.05352829,-140.3364578,-32.74648837,55.47124713,-8.243943281,-3.53195964,0.976248934,1,2.06E-09,297,0.008335845,-20.7908238,297
2021.03.18 10:59:10:591,102.591,158.8405406,-166.7431758,20.43562571,-144.8775211,-34.13242844,55.45918667,-8.436190579,-3.310945576,0.812119884,1,2.06E-09,297,0.008461232,-20.72566768,297
2021.03.18 10:59:11:091,103.091,163.303893,-166.6708658,19.573187,-149.7223607,-35.47330083,54.7083783,-8.692099184,-3.155438141,0.406822908,1,2.06E-09,297,0.008614743,-20.64757907,297
2021.03.18 10:59:11:591,103.591,167.7226734,-166.6428601,18.875353,-154.4102689,-36.66361955,54.25935882,-8.813809939,-2.954890916,0.184589932,1,2.06E-09,297,0.009407334,-20.26535189,297
2021.03.18 10:59:12:091,104.091,172.1358079,-166.6267058,18.24665708,-159.0474283,-37.812228,53.89689044,-8.924893689,-2.782877775,0.040112733,1,2.06E-09,297,0.010170449,-19.92676772,297
2021.03.18 10:59:12:591,104.591,176.613636,-166.5568395,17.76237642,-163.5861353,-39.10194213,53.87922069,-9.010130682,-2.735774752,0.045336364,1,2.06E-09,297,0.01079289,-19.66927502,297
2021.03.18 10:59:13:091,105.091,181.0663777,-166.5758622,17.12387344,-168.3120368,-40.17251387,53.3124462,-9.065375973,-2.585377091,-0.155098632,1,2.06E-09,297,0.01187177,-19.2552388,297
2021.03.18 10:59:13:591,105.591,185.5763984,-166.5343438,16.53894524,-173.007953,-41.42571217,52.82662351,-9.127053717,-2.569527376,-0.282430613,1,2.06E-09,297,0.011668142,-19.33128577,297
2021.03.18 10:59:14:091,106.091,190.019859,-166.5817289,15.79892047,-177.8501359,-42.42989946,51.73436397,-9.143790611,-2.430781707,-0.600868702,1,2.06E-09,297,0.010316018,-19.86528937,297
