,dataset_name,unique_id_fus,unique_id_all_labeled,missing_ids,jumped_id,no_pos_id,len_pos_data,pos_jumped,no_neg_id,len_neg_data,neg_jumped
0,06_30_11_16_cember,132,53,79,53,1,327,1,52,2018,34
0,06_30_11_21_7gen,139,57,82,57,4,439,3,53,2580,37
0,06_30_11_30_kare,161,64,97,64,3,311,0,61,3705,62
0,06_30_11_37_duz,105,44,61,44,1,165,1,43,1961,30
0,06_30_12_24_zikzak,255,84,171,84,7,749,2,77,5013,69
0,06_30_12_39_duz_takip_edilemeyen,117,35,82,35,1,45,0,34,1981,18
0,06_30_12_46_zikzak,117,36,81,36,2,538,3,34,2138,39
0,06_30_12_56_random,190,51,139,51,5,858,1,46,2966,53
0,06_30_13_07_cember,161,58,103,58,3,461,3,55,2730,42
0,06_30_13_17_duz_sola,117,40,77,40,2,420,3,38,1898,29
0,06_30_13_20_zikzak,148,57,91,57,5,498,1,52,2500,48
0,06_30_13_36_keskin_zikzak,409,109,300,109,9,923,1,100,7353,130
0,06_30_13_58_kalp,194,72,122,72,3,432,3,69,3563,59
0,06_30_14_10_yaprak,224,82,142,82,5,569,1,77,3752,91
0,07_01_11_22_just_neg,126,67,64,62,5,569,0,62,3710,79
0,07_01_11_35_duz_isinlanma,78,50,28,50,2,261,2,48,3120,49
0,07_01_11_46_duz_saga,176,84,92,84,4,302,3,80,3494,64
0,07_01_11_56_neg,365,104,265,100,4,302,0,100,9697,141
0,07_01_12_26_cemberimsi,72,45,27,45,3,397,1,42,2253,32
0,07_01_12_39_random,93,61,32,61,6,269,0,55,3352,44
0,07_01_12_54_S,77,39,38,39,4,275,0,35,1436,18
0,07_01_13_02_duz,155,52,103,52,6,354,3,46,1793,29
0,07_01_13_19_duz_sola,80,45,35,45,2,219,1,43,2144,45
0,07_01_13_27_duz_sola,44,28,16,28,2,238,7,26,1793,37
0,07_01_13_34_negatif,262,101,162,100,2,238,4,100,5573,102
0,07_01_13_51_duz,99,58,41,58,1,145,3,57,2608,61
0,07_01_14_06_kurdele,148,68,80,68,2,465,4,66,3461,81
0,07_01_14_22_kalp,121,75,46,75,2,495,4,73,3158,67
0,07_01_14_35_7gen,118,65,53,65,4,467,1,61,3036,58
0,07_01_14_51_cemberimsi,87,46,41,46,3,366,0,43,2247,40
0,07_01_15_02_duz,129,48,81,48,4,210,1,44,1823,36
0,07_01_15_12_yagmur,413,104,313,100,4,210,0,100,3222,80
