,Dataset_Name,pos,train_pos,val_pos,neg,train_neg,val_neg,pos_train_step,pos_val_step,dataset_ratio,step_size
0,input_data\angular_0318_1057.csv,293,216,76,775.0,429.0,227.0,108,38,0.0,2.0
1,input_data\angular_0318_1104.csv,277,204,72,275.0,91.0,100.0,102,36,0.0,0.0
2,input_data\angular_0318_1135.csv,631,466,164,799.0,567.0,232.0,233,82,0.0,0.0
3,input_data\angular_0318_1208.csv,664,492,172,751.0,455.0,218.0,246,86,0.0,0.0
4,input_data\angular_0321_1002.csv,0,0,0,714.0,514.0,200.0,246,86,0.0,0.0
5,input_data\angular_0321_1107.csv,538,398,140,1229.0,904.0,325.0,199,70,0.0,0.0
6,,457,338,118,,,,169,59,0.0,0.0
7,input_data\angular_0321_1156.csv,1259,932,164,630.0,433.0,169.0,466,164,0.0,0.0
8,input_data\angular_0321_1218.csv,557,412,144,491.0,215.0,133.0,206,72,0.0,0.0
9,input_data\angular_0321_1317.csv,1358,1004,354,1576.0,992.0,584.0,502,177,0.0,0.0
10,input_data\angular_0321_1420.csv,445,330,58,199.0,0.0,39.0,165,58,0.0,0.0
11,input_data\angular_0402_1348.csv,0,0,0,1085.0,738.0,301.0,165,58,0.0,0.0
12,input_data\angular_0413_1140.csv,0,0,0,610.0,323.0,160.0,165,58,0.0,0.0
13,input_data\angular_0413_1148.csv,431,318,112,817.0,428.0,281.0,159,56,0.0,0.0
14,input_data\angular_0413_1155.csv,597,442,78,696.0,441.0,193.0,221,78,0.0,0.0
15,input_data\angular_0413_1417.csv,642,476,166,893.0,442.0,394.0,238,83,0.0,0.0
16,input_data\angular_0413_1548.csv,899,666,117,824.0,393.0,293.0,333,117,0.0,0.0
17,input_data\angular_0416_1119.csv,368,272,96,479.0,297.0,144.0,136,48,0.0,0.0
18,input_data\angular_0416_1137.csv,535,396,70,376.0,204.0,132.0,198,70,0.0,0.0
19,input_data\angular_0416_1202.csv,441,326,114,484.0,227.0,174.0,163,57,0.0,0.0
20,,263,194,68,,,,97,34,0.0,0.0
21,input_data\angular_0618_1305.csv,515,382,67,683.0,345.0,241.0,191,67,0.0,0.0
22,input_data\angular_0618_1323.csv,0,0,0,398.0,0.0,398.0,191,67,0.0,0.0
23,input_data\angular_0618_1443.csv,494,366,128,64.0,28.0,21.0,183,64,0.0,0.0
24,total,11664,8630,2478,14848.0,8466.0,4959.0,0,0,0.0,0.0
